INDEX,PM2.5-1,PM2.5-2
1,77.4743,63.128574
2,81.71245,66.48342
3,78.50432,63.875706
4,62.52888,51.736996
5,53.446686,44.88495
6,46.114037,39.25334
7,38.941273,33.576572
8,36.191135,31.31537
9,35.787296,30.753073
10,33.104,28.28325
11,35.425697,29.989119
12,39.744232,33.52374
13,35.059624,30.503622
14,28.222906,25.213984
15,27.065498,24.127054
16,22.835493,20.600992
17,19.889364,17.862644
18,17.824007,16.462076
19,18.687288,17.5198
20,17.943392,17.164816
21,15.926986,15.718315
22,14.792232,14.514509
23,14.711423,14.591681
24,15.3681,15.066925
25,14.779145,14.801275
26,13.715056,14.190109
27,12.814687,13.698677
28,12.718292,13.65406
29,12.966038,13.80585
30,13.88083,14.616358
31,15.174962,15.709786
32,15.538985,15.846012
33,15.666656,15.452951
34,16.929148,15.899929
35,16.183598,15.016475
36,15.542499,14.1999655
37,15.111599,13.88362
38,14.829795,13.648627
39,15.272349,14.076036
40,15.643463,14.354624
41,15.80395,14.747732
42,16.475187,15.644664
43,16.07435,15.558064
44,14.444528,14.787357
45,12.739564,13.84312
46,12.258788,13.5074215
47,11.483042,12.949885
48,9.745881,11.371232
49,9.02637,10.722078
50,9.001094,10.75613
51,8.46236,10.251724
52,7.3982553,9.268355
53,6.629197,8.323032
54,5.8062134,7.1323996
55,7.3829145,7.935761
56,11.063819,10.646414
57,10.574954,11.032
58,9.52649,10.20881
59,11.608373,10.916903
60,10.992658,10.423709
61,9.632505,9.34981
62,9.93952,9.410167
63,11.631093,10.4690895
64,12.807576,11.407329
65,14.396167,12.932358
66,15.60666,14.195396
67,15.249616,13.6763935
68,15.137109,13.382406
69,13.792272,12.223954
70,13.0750475,11.635914
71,13.808662,12.003815
72,13.845262,12.035639
73,14.946294,12.23451
74,11.950881,10.724807
75,9.784352,9.397002
76,10.305408,9.358841
77,10.141653,9.334415
78,12.163821,9.713108
79,13.302274,10.484102
80,13.854598,10.645631
81,17.006227,15.000152
82,15.445885,13.978514
83,19.71969,17.26512
84,22.863047,19.616894
85,28.454233,24.015749
86,34.643707,29.662203
87,37.75828,32.841084
88,38.55452,34.071808
89,40.604603,36.898327
90,38.603123,34.352375
91,39.929577,34.594555
92,41.465626,36.022556
93,50.23521,41.9826
94,50.651867,38.798805
95,43.661472,33.223095
96,38.983585,30.557981
97,33.259846,25.376862
98,30.522816,22.556133
99,25.725065,19.33806
100,20.036703,15.50794
101,16.931469,12.69709
102,14.404373,10.874491
103,17.985039,14.112591
104,29.484562,23.307432
105,27.603106,24.082975
106,32.585964,29.155344
107,36.141262,30.88655
108,37.699497,31.930159
109,34.81812,28.7797
110,34.204613,27.616552
111,37.68257,32.349293
112,40.45738,35.419155
113,39.93838,35.2935
114,45.761284,37.471596
115,52.472034,39.300655
116,56.332138,39.307575
117,68.566444,47.10574
118,57.349087,39.201263
119,48.202938,32.585903
120,36.10359,27.347376
121,29.479021,23.282557
122,23.891401,19.990759
123,18.498796,16.620329
124,15.807793,13.226164
125,15.959931,12.469001
126,17.23752,12.77853
127,22.438442,14.77199
128,29.60911,19.767687
129,23.942377,17.47413
130,18.87251,17.68823
131,24.540651,22.014727
132,25.789509,22.838198
133,27.039465,23.123598
134,26.434515,22.5051
135,30.583975,26.659605
136,35.022396,31.079248
137,51.87955,44.777546
138,69.56895,58.313316
139,68.8303,57.292767
140,60.562428,50.816498
141,50.749596,43.699352
142,35.207005,32.956726
143,26.149624,25.599464
144,15.0060625,16.350786
145,13.065789,14.924755
146,10.934985,13.09878
147,14.873737,16.56154
148,11.500234,13.210367
149,6.1185,7.071316
150,3.8252482,4.391393
151,4.7323503,5.0724354
152,5.157459,5.2103643
153,5.9199276,5.761394
154,6.5738473,6.415065
155,7.0564575,6.9168386
156,8.694585,8.389282
157,8.491869,8.18176
158,6.485186,6.3708124
159,6.852109,6.559556
160,9.512136,8.955077
161,14.004907,12.883111
162,16.644865,15.223124
163,17.273628,17.414696
164,16.654068,17.274038
165,17.321554,16.644758
166,17.164282,16.77866
167,16.584467,16.4214
168,17.914637,17.732645
169,20.291508,19.88066
170,22.489641,21.867392
171,22.220182,21.69951
172,24.24767,23.358799
173,25.454048,24.197763
174,27.672401,25.71628
175,29.814837,25.89613
176,34.350536,28.914747
177,34.86153,29.727037
178,36.71278,30.636848
179,35.322853,29.700827
180,32.15059,27.484243
181,25.919107,22.095411
182,25.864433,21.952732
183,27.879343,23.989237
184,26.42903,23.060888
185,28.2445,24.993689
186,31.834517,27.5925
187,33.408207,28.352993
188,31.715843,26.844034
189,29.977562,25.539228
190,27.852495,24.085112
191,21.225164,20.077595
192,17.304693,17.0833
193,14.501719,14.733606
194,11.477741,12.474606
195,10.417005,11.483351
196,9.67961,10.923051
197,10.549681,11.896504
198,12.544142,13.601152
199,14.104482,15.120411
200,19.056852,17.374647
201,17.787766,16.649427
202,18.404856,16.917704
203,19.850687,17.393915
204,20.987324,18.193613
205,20.177885,17.76032
206,21.798138,19.009398
207,21.322987,18.830868
208,22.604752,19.857866
209,21.20194,18.434052
210,20.47682,17.765533
211,19.410862,18.183369
212,17.243353,16.976097
213,17.167414,17.373743
214,17.194956,17.429136
215,15.038747,15.238071
216,11.774539,13.150452
217,10.153809,11.67288
218,8.877863,10.507509
219,7.7860394,9.480426
220,7.43056,9.100834
221,7.504637,9.069308
222,7.574641,9.097475
223,8.184621,9.41038
224,12.933093,12.29382
225,12.464572,13.043188
226,15.5469055,14.656688
227,16.163578,14.4205265
228,17.23699,15.405184
229,18.56916,16.617388
230,18.885094,16.817415
231,18.357473,16.376589
232,18.626373,16.748014
233,19.617647,17.913675
234,20.20451,18.662611
235,20.90438,19.3814
236,21.492014,19.840864
237,21.970787,20.153078
238,23.967463,22.02674
239,26.400023,24.042768
240,29.569288,26.524096
241,32.219757,29.23649
242,34.352886,31.27315
243,33.270473,30.49684
244,30.492498,28.310854
245,28.845346,27.02551
246,27.165451,25.439062
247,26.315952,24.519331
248,28.5124,26.064405
249,29.95128,27.003008
250,27.950256,24.9863
251,25.93809,23.100271
252,26.637594,23.50509
253,28.546751,25.112375
254,30.28266,26.521132
255,32.72138,28.410967
256,31.146906,27.00397
257,31.181803,27.090197
258,32.846943,28.371103
259,37.908134,32.61343
260,39.486668,33.966297
261,38.183414,33.31162
262,34.45188,30.299025
263,33.56322,29.71105
264,33.55779,29.899073
265,31.94673,28.987326
266,28.31216,26.135391
267,24.103918,22.477512
268,24.055422,22.584967
269,24.542398,22.931738
