INDEX,PM2.5-1,PM2.5-2
1,79.93754,69.11283
2,86.02129,74.75238
3,87.73594,75.832855
4,69.84131,62.140583
5,60.543163,54.819107
6,54.55505,49.08254
7,47.083042,42.856655
8,43.998554,40.03072
9,43.95756,39.56111
10,44.439156,39.672314
11,42.089367,38.4242
12,40.90038,37.61333
13,34.87171,32.53322
14,29.996649,28.222424
15,29.653648,28.033987
16,27.644379,26.189987
17,24.710005,23.47797
18,22.070843,21.123396
19,20.797474,20.065695
20,20.205727,19.488676
21,17.693499,17.658545
22,16.075468,15.588242
23,16.591415,16.802122
24,17.228664,17.216253
25,17.042751,17.423182
26,17.932741,17.904821
27,18.104122,18.638597
28,16.321423,17.396769
29,17.64162,18.353094
30,17.598042,18.246021
31,19.7256,19.270844
32,15.3832855,15.613899
33,16.53813,16.00948
34,18.35682,17.325033
35,17.939608,16.75705
36,16.640972,15.430675
37,15.624405,14.586445
38,16.830677,15.620486
39,16.250149,15.2102165
40,16.035479,15.167162
41,15.747907,15.471195
42,15.850639,15.942837
43,15.200605,15.245033
44,14.544006,15.321978
45,13.123773,14.153161
46,13.953438,15.098607
47,12.656045,14.161753
48,12.309139,14.008459
49,11.112486,13.100023
50,8.717247,11.207876
51,8.947069,11.502441
52,7.951359,10.119385
53,7.6078444,8.927956
54,7.015479,7.213981
55,7.741213,7.7197976
56,11.246026,10.135721
57,11.0156555,11.641621
58,11.775002,11.922298
59,12.705874,11.659409
60,12.080051,11.531345
61,10.778132,11.06762
62,9.013819,8.604215
63,10.167067,9.430759
64,11.596653,10.782617
65,15.528622,14.312643
66,14.997568,13.99024
67,16.47187,15.435166
68,15.9475975,14.996832
69,17.336666,16.10567
70,18.651001,17.074425
71,18.662294,16.690851
72,17.675688,15.295196
73,20.87738,16.24977
74,16.481083,13.723272
75,11.078421,11.201726
76,13.661949,12.085688
77,13.488979,12.47286
78,17.986458,14.455776
79,16.994595,13.677754
80,18.040653,14.123077
81,21.733036,18.783758
82,17.682487,16.24837
83,22.300835,20.702982
84,30.793789,27.946089
85,35.40622,31.416475
86,38.512814,34.47305
87,39.80312,36.82745
88,40.922283,37.760456
89,43.67761,40.30725
90,43.031406,39.70564
91,47.5264,43.060425
92,52.64008,47.032787
93,60.094036,52.003674
94,59.15746,47.916836
95,46.105293,38.329052
96,39.655834,34.51874
97,35.552837,29.555237
98,30.441223,24.755606
99,26.418865,20.927578
100,26.047195,19.821068
101,24.705147,18.126396
102,18.935616,12.897191
103,23.791634,18.958582
104,32.36417,25.684212
105,36.583664,32.285854
106,38.481804,34.689407
107,44.115444,39.91913
108,47.310715,42.37261
109,39.116943,34.1399
110,44.13912,36.293476
111,44.372074,38.342937
112,46.93776,41.16757
113,47.171497,42.62287
114,47.924885,42.611095
115,49.806828,43.596348
116,54.22982,47.76965
117,58.81553,47.34553
118,51.715733,39.757874
119,44.906868,34.779526
120,37.745113,30.559809
121,33.441242,27.839098
122,28.100761,23.424217
123,25.1025,21.94962
124,23.172995,19.047588
125,23.948944,19.115965
126,22.373169,16.741064
127,28.357655,19.179768
128,33.655624,23.307653
129,28.28813,22.810102
130,22.679043,21.310251
131,27.684835,25.666376
132,27.72303,25.50491
133,29.85532,26.623087
134,31.12743,28.637545
135,35.49582,32.838406
136,35.543423,33.37451
137,50.801685,47.583702
138,64.93537,60.658436
139,64.50133,60.153652
140,55.587837,52.16357
141,46.422462,44.0262
142,33.0327,32.087227
143,22.42539,23.416578
144,14.597713,16.986952
145,12.498422,15.874339
146,9.27557,13.381277
147,11.258472,14.5224
148,10.709844,13.179318
149,6.9597225,9.467949
150,4.064763,8.113491
151,3.7914727,8.075762
152,6.3692064,7.854386
153,8.589247,9.143833
154,8.497716,9.803092
155,7.6925316,9.126619
156,9.544701,10.40061
157,9.307781,9.99865
158,7.8893585,8.329182
159,8.368223,8.21158
